0.000,10.678,14.565,13.435,5.445,7.272,13.220,10.259,8.081,4.837,13.734
0.000,9.859,14.728,14.803,3.388,3.635,12.014,6.484,8.219,6.487,13.171
0.001,9.484,13.003,15.534,2.420,7.041,11.383,9.203,8.906,4.787,13.334
0.001,8.778,13.409,14.160,3.551,3.585,12.352,8.484,7.094,5.881,12.334
0.002,7.947,15.103,16.547,5.626,3.016,14.445,8.790,7.513,3.300,14.371
0.002,10.697,13.040,15.659,2.188,4.222,12.202,9.253,7.013,6.250,13.784
0.002,11.372,13.284,14.697,5.032,5.916,12.314,6.834,7.719,4.587,13.553
0.003,8.434,11.934,13.828,2.932,7.697,10.564,9.153,6.688,3.550,14.084
0.003,6.534,12.228,15.641,3.913,8.253,13.202,7.678,7.956,2.862,14.728
0.004,9.934,13.522,13.685,5.226,5.385,12.708,8.378,6.456,5.043,12.446
0.004,10.215,12.640,13.978,3.838,5.985,12.133,9.584,7.431,4.875,11.421
0.004,11.897,14.097,14.947,4.251,6.491,12.458,8.678,9.244,3.456,12.396
0.005,10.828,16.072,15.997,2.351,5.628,11.808,8.140,6.956,5.118,11.503
0.005,11.147,14.059,12.028,4.457,6.841,11.014,9.234,7.044,4.462,13.102
0.006,11.634,14.815,11.510,3.376,5.479,12.164,8.503,7.450,4.875,14.046
0.006,11.278,14.315,14.216,6.038,4.085,12.520,6.034,7.631,3.712,13.259
0.006,11.172,16.940,14.447,6.701,5.553,12.677,6.009,9.663,4.612,13.746
0.007,10.340,14.809,13.466,4.457,5.241,12.708,9.415,9.519,5.243,14.127
0.007,9.353,14.834,15.028,5.351,3.741,12.389,9.215,8.894,3.818,15.259
0.008,10.640,12.365,15.491,5.838,2.753,13.189,7.446,8.050,5.575,13.534
0.008,12.115,13.878,17.347,3.888,4.897,12.083,5.709,7.619,6.443,14.809
0.008,11.097,13.447,14.216,4.088,6.516,12.708,7.165,8.113,5.987,13.334
0.009,12.659,14.465,15.085,1.795,6.378,13.014,6.603,8.062,4.793,15.790
0.009,9.090,13.803,14.372,3.082,6.997,12.239,7.859,10.388,4.375,14.565
0.010,11.372,14.634,14.416,3.163,6.697,12.970,7.159,9.919,4.043,15.015
0.010,10.822,14.465,14.534,5.170,5.666,14.458,7.321,9.181,4.987,14.171
0.010,9.222,12.934,15.034,4.319,7.272,12.527,8.171,9.681,3.262,13.659
0.011,12.484,14.697,12.672,4.232,3.435,11.120,7.928,9.694,5.337,15.403
0.011,10.140,14.609,14.997,4.688,5.822,12.783,8.640,9.319,7.281,15.196
0.012,14.053,15.978,15.497,6.032,5.010,10.489,6.228,10.138,5.812,15.503
0.012,12.972,14.159,17.403,4.713,3.222,11.552,7.715,8.275,7.237,12.715
0.012,9.247,13.528,18.591,3.776,4.822,12.214,8.665,8.963,5.818,14.584
0.013,12.347,16.934,18.591,5.445,6.685,9.727,7.659,8.650,3.787,15.003
0.013,13.734,13.690,15.966,4.388,4.710,11.595,9.422,10.394,4.706,13.921
0.014,9.140,14.522,18.103,5.857,4.604,10.064,10.484,9.931,5.375,12.415
0.014,9.759,13.972,16.041,2.970,6.141,10.958,4.872,8.031,4.943,12.771
0.014,11.565,11.215,15.960,4.120,5.716,12.227,6.534,7.950,5.443,12.809
0.015,12.090,14.078,15.866,4.463,4.854,11.620,6.896,8.438,3.306,14.227
0.015,9.947,14.272,16.947,3.720,2.028,12.395,7.571,7.294,3.000,12.121
0.016,11.165,14.309,18.447,3.494,4.391,13.695,5.790,8.138,8.262,12.777
0.016,10.503,11.915,16.816,2.845,4.516,12.970,7.653,7.344,5.200,12.359
0.016,11.315,12.722,15.953,3.151,2.022,13.102,9.147,8.625,4.681,12.884
0.017,11.447,11.872,14.522,3.026,5.172,9.602,6.597,9.425,4.250,14.784
