ecephys_probe_id,ecephys_session_id,name,sampling_rate,lfp_sampling_rate,phase,has_lfp_data,unit_count,channel_count,structure_acronyms
1044506933,1044385384,probeB,30000.1784017642,2500.01486681368,1.0,True,701,384,"['CA1', 'DG', 'LP', 'POL', 'PoT', 'VISpm', 'root']"
1044506934,1044385384,probeC,30000.0498517999,2500.00415431666,1.0,True,307,384,"['MB', 'MRN', 'POST', 'SCig', 'VISp', 'root']"
1044506935,1044385384,probeD,30000.0291146067,2500.00242621722,1.0,True,521,384,"['CA1', 'CA3', 'DG', 'LGv', 'MB', 'TH', 'VISl', 'ZI', 'root']"
1044506936,1044385384,probeE,30000.0758506691,2500.00632088909,1.0,True,282,384,"['CA1', 'DG', 'MB', 'MGd', 'MGm', 'MRN', 'SGN', 'TH', 'VISal', 'root']"
1044506937,1044385384,probeF,29999.9595779486,2499.99663149572,1.0,True,368,384,"['CA1', 'DG', 'LP', 'MRN', 'POL', 'PoT', 'SGN', 'TH', 'VISrl', 'root']"
1044520062,1044389060,probeA,29999.9241611896,2499.99368009913,1.0,True,306,384,"['APN', 'CA1', 'DG', 'MB', 'MRN', 'NOT', 'VISam', 'root']"
1044520063,1044389060,probeB,29999.9549743714,2499.99624786428,1.0,True,205,384,"['APN', 'DG', 'MB', 'NOT', 'PPT', 'ProS', 'VISpm', 'root']"
1044520064,1044389060,probeC,30000.1469970026,2500.01224975022,1.0,True,417,384,"['MB', 'NB', 'POL', 'POST', 'PRE', 'SUB', 'TH', 'VISp', 'root']"
1044520065,1044389060,probeD,30000.0800396387,2500.00666996989,1.0,True,158,384,"['CA1', 'CA3', 'DG', 'IGL', 'LGv', 'TH', 'VISal', 'ZI', 'root']"
1044520066,1044389060,probeE,30000.0940068595,2500.00783390496,1.0,True,345,384,"['CA1', 'DG', 'LP', 'MGm', 'PoT', 'SGN', 'TH', 'VISal', 'root']"
1044520067,1044389060,probeF,30000.119915521,2500.00999296008,1.0,True,214,384,"['CA1', 'DG', 'LP', 'MRN', 'POL', 'PoT', 'SGN', 'TH', 'VISrl', 'root']"
1044791094,1044594870,probeB,30000.1829269456,2500.01524391214,1.0,True,513,384,"['CA1', 'DG', 'LP', 'POL', 'VISpm', 'root']"
1044791095,1044594870,probeC,30000.0540687091,2500.00450572576,1.0,True,365,384,"['HPF', 'MB', 'MRN', 'POST', 'SCig', 'VISp', 'root']"
1044791096,1044594870,probeD,30000.0331615896,2500.0027634658,1.0,True,522,384,"['CA1', 'CA3', 'DG', 'SNr', 'VISl', 'root']"
1044791097,1044594870,probeE,30000.0805648605,2500.00671373838,1.0,True,419,384,"['CA1', 'DG', 'MB', 'MGd', 'MGm', 'MGv', 'PIL', 'TH', 'VISal', 'root']"
1044791098,1044594870,probeF,29999.9644371967,2499.99703643306,1.0,True,284,384,"['CA1', 'CA3', 'DG', 'MB', 'MGd', 'MGm', 'MGv', 'PIL', 'PP', 'SNr', 'VISrl', 'root']"
1044827084,1044597824,probeA,29999.9255796678,2499.99379830565,1.0,True,221,384,"['APN', 'CA1', 'DG', 'MB', 'VISam', 'root']"
1044827085,1044597824,probeB,29999.9562914713,2499.99635762261,1.0,True,252,384,"['APN', 'CA1', 'DG', 'MB', 'NOT', 'VISpm', 'root']"
1044827086,1044597824,probeC,30000.1489575605,2500.01241313004,1.0,True,378,384,"['DG', 'MB', 'PIL', 'POST', 'PRE', 'SGN', 'SUB', 'TH', 'VISp', 'root']"
1044827087,1044597824,probeD,30000.0817954158,2500.00681628465,1.0,True,358,384,"['CA1', 'CA3', 'DG', 'LT', 'PP', 'TH', 'VISl', 'root']"
1044827088,1044597824,probeE,30000.0953978755,2500.00794982295,1.0,True,426,384,"['CA1', 'CA3', 'DG', 'MGd', 'MGm', 'MGv', 'PIL', 'VISal', 'root']"
1044827089,1044597824,probeF,30000.1203711413,2500.01003092844,1.0,True,313,384,"['CA1', 'CA3', 'DG', 'LP', 'MGm', 'PoT', 'SGN', 'TH', 'VISrl', 'root']"
1046469925,1046166369,probeA,29999.9273479904,2499.99394566587,1.0,True,571,384,"['CA1', 'HPF', 'MB', 'MRN', 'NOT', 'PPT', 'ProS', 'RN', 'SCig', 'SUB', 'VISam', 'root']"
1046469926,1046166369,probeB,29999.9568492354,2499.99640410295,1.0,True,453,384,"['APN', 'DG', 'HPF', 'MRN', 'NOT', 'PPT', 'RN', 'SUB', 'VISpm', 'root']"
1046469927,1046166369,probeC,30000.1504771248,2500.0125397604,1.0,True,519,384,"['HPF', 'MB', 'MRN', 'POST', 'SCig', 'VISp', 'root']"
1046469928,1046166369,probeD,30000.0826450369,2500.00688708641,1.0,True,443,384,"['CA1', 'CA3', 'DG', 'MB', 'VISl', 'root']"
1046469929,1046166369,probeE,30000.0962530055,2500.00802108379,1.0,True,548,384,"['CA1', 'CA3', 'DG', 'MGd', 'MGm', 'MGv', 'PIL', 'VISal', 'root']"
1046469930,1046166369,probeF,30000.1217030232,2500.0101419186,1.0,True,555,384,"['CA1', 'CA3', 'DG', 'MB', 'MGd', 'MGm', 'MGv', 'PIL', 'TH', 'VISrl', 'root']"
1046762245,1046581736,probeA,29999.9252640419,2499.99377200349,1.0,True,330,384,"['APN', 'CA1', 'DG', 'MB', 'MRN', 'NOT', 'VISam', 'root']"
1046762247,1046581736,probeB,29999.9545863823,2499.99621553186,1.0,True,408,384,"['APN', 'MB', 'MRN', 'NOT', 'PPT', 'RN', 'SCig', 'SUB', 'VISpm', 'root']"
1046762248,1046581736,probeC,30000.148628256,2500.012385688,1.0,True,472,384,"['HPF', 'MB', 'MRN', 'NB', 'POST', 'SUB', 'VISp', 'root']"
1046762249,1046581736,probeD,30000.0809296595,2500.00674413829,1.0,True,307,384,"['CA1', 'CA3', 'DG', 'MB', 'PP', 'VISl', 'root']"
1046762251,1046581736,probeE,30000.094510533,2500.00787587775,1.0,True,389,384,"['CA1', 'CA3', 'DG', 'MGd', 'MGm', 'MGv', 'PIL', 'PoT', 'VISal', 'root']"
1046762252,1046581736,probeF,30000.119408801,2500.00995073341,1.0,True,287,384,"['CA1', 'CA3', 'DG', 'MGd', 'MGm', 'MGv', 'PIL', 'PoT', 'TH', 'VISrl', 'root']"
1048089911,1047969464,probeA,29999.9853198076,2499.99877665063,1.0,True,482,384,"['APN', 'CA1', 'DG', 'MB', 'MRN', 'NOT', 'VISam', 'root']"
1048089912,1047969464,probeB,30000.186614776,2500.01555123134,1.0,True,224,384,"['APN', 'DG', 'NOT', 'PPT', 'SUB', 'VISpm', 'root']"
1048089913,1047969464,probeC,30000.0584020969,2500.00486684141,1.0,True,302,384,"['HPF', 'MB', 'MRN', 'POST', 'VISp']"
1048089914,1047969464,probeD,30000.0370510211,2500.00308758509,1.0,True,493,384,"['CA1', 'CA3', 'DG', 'LGv', 'TH', 'VISl', 'ZI', 'root']"
1048089915,1047969464,probeE,30000.0843208158,2500.00702673465,1.0,True,483,384,"['CA1', 'DG', 'MGd', 'MGm', 'TH', 'VISal', 'root']"
1048089916,1047969464,probeF,29999.9675803565,2499.99729836304,1.0,True,454,384,"['CA1', 'DG', 'MB', 'MGd', 'MGm', 'MGv', 'PIL', 'VISrl', 'root']"
1048320283,1048189115,probeA,29999.9819965657,2499.99849971381,1.0,True,391,384,"['APN', 'CA1', 'DG', 'MB', 'VISam', 'root']"
1048320284,1048189115,probeB,30000.1836645782,2500.01530538152,1.0,True,254,384,"['CA1', 'DG', 'ProS', 'VISpm', 'root']"
1048320287,1048189115,probeC,30000.055234452,2500.004602871,1.0,True,310,384,"['APN', 'HPF', 'MB', 'MRN', 'POST', 'SCig', 'SCiw', 'VISp', 'root']"
1048320288,1048189115,probeD,30000.0329676018,2500.00274730015,1.0,True,298,384,"['CA1', 'CA3', 'DG', 'LGv', 'TH', 'VISl', 'ZI', 'root']"
1048320289,1048189115,probeE,30000.081828036,2500.006819003,1.0,True,353,384,"['CA1', 'CA3', 'DG', 'MGd', 'MGv', 'VISal', 'root']"
1048320290,1048189115,probeF,29999.9637398592,2499.9969783216,1.0,True,319,384,"['CA1', 'DG', 'MB', 'MGd', 'MGm', 'MRN', 'TH', 'VISrl', 'root']"
1048335287,1048196054,probeA,29999.9265701335,2499.99388084446,1.0,True,470,384,"['APN', 'CA1', 'HPF', 'MB', 'MRN', 'NOT', 'ProS', 'VISam', 'root']"
1048335288,1048196054,probeB,29999.9562346618,2499.99635288848,1.0,True,379,384,"['APN', 'HPF', 'MRN', 'NOT', 'PPT', 'ProS', 'SUB', 'VISpm', 'root']"
